================================================================================
TRAINING METRICS
================================================================================

Model: baseline_cnn_improved_no_masks
Date: 2026-01-10 21:20:27

================================================================================
SUMMARY STATISTICS
================================================================================

Total Epochs: 150

Training Metrics:
  Final Loss: 0.465884
  Best Loss: 0.465884 (Epoch 150)
  Final Accuracy: 83.41%
  Best Accuracy: 83.41% (Epoch 150)
  Final Top-5 Accuracy: 96.70%
  Best Top-5 Accuracy: 96.77% (Epoch 146)

Validation Metrics:
  Final Loss: 0.493447
  Best Loss: 0.443479 (Epoch 149)
  Final Accuracy: 83.55%
  Best Accuracy: 85.83% (Epoch 149)
  Final Top-5 Accuracy: 96.74%
  Best Top-5 Accuracy: 97.64% (Epoch 139)

================================================================================
DETAILED EPOCH-BY-EPOCH METRICS
================================================================================

Epoch    Train Loss   Train Acc    Train Top-5    Val Loss     Val Acc      Val Top-5      LR          
103      0.755730     74.62        93.23          0.735401     77.20        94.79          5.00e-04    
104      0.768131     74.25        93.58          0.678301     79.32        94.95          5.00e-04    
105      0.734499     75.28        93.38          0.722733     76.14        93.97          5.00e-04    
106      0.719178     75.05        93.56          0.719630     78.01        94.38          5.00e-04    
107      0.743730     74.88        93.91          0.728585     79.48        94.63          5.00e-04    
108      0.723676     75.05        93.52          0.647088     80.62        95.85          5.00e-04    
109      0.712863     75.51        93.80          0.649203     79.15        95.28          5.00e-04    
110      0.695607     75.87        94.48          0.636370     78.66        95.44          5.00e-04    
111      0.687938     76.90        94.73          0.692625     79.23        95.52          5.00e-04    
112      0.680689     76.55        94.43          0.693888     78.58        94.63          5.00e-04    
113      0.665141     77.22        94.66          0.623594     80.78        96.01          5.00e-04    
114      0.693847     76.47        94.17          0.652767     80.21        94.46          5.00e-04    
115      0.697188     76.33        93.85          0.572626     82.57        96.01          5.00e-04    
116      0.673097     76.50        94.47          0.626637     79.89        95.60          5.00e-04    
117      0.674290     77.27        94.68          0.635254     80.37        96.25          5.00e-04    
118      0.627811     78.16        95.16          0.591717     81.92        96.25          5.00e-04    
119      0.630769     78.19        94.81          0.589346     80.21        96.01          5.00e-04    
120      0.648511     77.60        95.04          0.575091     81.68        96.34          5.00e-04    
121      0.614164     78.72        95.37          0.521694     83.39        96.91          5.00e-04    
122      0.567343     80.41        95.41          0.592561     80.94        95.20          5.00e-04    
123      0.590878     79.78        95.44          0.630657     80.54        96.17          5.00e-04    
124      0.587041     78.98        95.58          0.740490     80.78        95.11          5.00e-04    
125      0.583993     79.09        95.62          0.543898     82.90        96.66          5.00e-04    
126      0.610738     79.71        95.34          0.550334     82.57        96.34          5.00e-04    
127      0.593820     79.03        95.11          0.572471     82.17        95.68          5.00e-04    
128      0.594313     79.36        94.92          0.599285     80.05        95.36          5.00e-04    
129      0.582511     79.73        95.46          0.509472     83.47        97.07          5.00e-04    
130      0.563433     80.90        95.67          0.617896     81.76        96.50          5.00e-04    
131      0.575178     80.03        95.98          0.538284     83.55        96.58          5.00e-04    
132      0.570195     80.27        95.48          0.592591     81.19        96.42          5.00e-04    
133      0.591708     80.06        95.71          0.540697     82.08        96.25          5.00e-04    
